Date,0-17,18-44,45-64,65-74,75+,All ages
2020-03-13,25.8842106477441,23.5333535164668,20.7679976342965,16.3062601735329,18.2823712235477,22.3961952424338
2020-03-14,21.077970191899,17.5090524271317,15.8070239605301,14.0176622544406,13.3461309931898,17.2644779912435
2020-03-15,25.1893325095497,20.1799248312704,20.9139086247014,15.7341106937599,16.6369578134284,20.7888128087663
2020-03-16,21.4833157725125,30.2698872469056,28.4040061321526,22.5999044510369,20.1106083459025,26.7063614719718
2020-03-17,18.1247381045725,31.9911161295728,29.1821980809787,22.0277549712638,18.8308423602541,26.7658941547002
2020-03-18,14.9398799711812,34.4245776533436,36.5263845980249,25.1745771100158,25.5953197129668,29.5877433160276
2020-03-19,13.9554692754057,37.3922136579422,38.0827684956771,32.1834082372361,25.9609671374377,31.5642283826113
2020-03-20,14.4766278790515,38.4605626195977,44.4542150766908,36.1884545956477,35.4678001736825,34.6123017383067
2020-03-21,10.1915460268523,28.8157456046523,38.5205014668918,29.1796234684274,34.5536816125051,27.7660432245377
2020-03-22,10.1915460268523,28.3112474838705,39.3959674093212,27.3201376591648,31.9941496412085,27.4564732743499
2020-03-23,7.64365952013921,31.575647088929,52.7711415297697,41.7669120234352,38.0273321449792,33.1120781335504
2020-03-24,10.0757330038199,38.1341226590918,59.9694170564111,50.9213036998046,47.1685177567531,39.3630098200351
2020-03-25,8.04900510075265,40.3895260225868,64.4926577589628,55.355462168046,49.1795785913433,41.4585602520757
2020-03-26,6.42762277829888,36.1754828960568,60.2126020404193,56.0706490177624,49.5452260158143,38.4700195791087
2020-03-27,6.13809022071785,32.3769088101706,57.5375672163296,58.9313964166278,54.4814662461721,36.7911979261671
2020-03-28,4.40089487523167,25.4326405594099,47.5183458751936,45.0567715321305,41.8666301019242,29.2186406831113
2020-03-29,4.80624045584511,27.4506330425369,52.1874975681502,51.3504158096344,51.1906394259335,32.3857794042636
