M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56
0,0,0,12.6,7.8,83.7588,9.59214501510574,0,333,215,372,554,759,11,11,2,0,9097,1019,254,47441,55608,5334,0,494252,2233,0,0,9194,7706,692,320,14,0,0,325,137,7807,692,320,14,0,13,348,9194,1147,1017,963,920,9194,9057,3834,1313,5099873385.15234,556058.291159033,0
2.18978102189781,91.3,1.99925361198486,12.2,4.1,126.9634,4.53667953667954,3,3001,3115,5359,8816,12472,240,225,25,6,150056,17972,3065,60187,7252,329,0,180646,32763,4,0,148917,63627,1283,3689,1818,115,180,1801,76404,124370,1496,4736,1885,175,12132,4123,148917,22976,16178,16923,11475,148917,72513,60077,21288,7486367085.4375,398864.88761119,137
0,78.78,0,20.4,4.5,77.1436,0,0,0,0,0,0,0,0,0,0,0,21579,3919,351,40397,0,0,0,409630,0,0,0,21596,20134,1091,31,0,0,0,67,273,20293,1093,31,0,0,94,85,21596,3344,2601,2996,1382,21596,21323,9082,2191,2079084285.94922,229229.583813151,17
11.7647058823529,20.82,2.44968950185564,13.4,3.6,90.5988,3.53430353430353,2,1793,2148,2500,3479,4677,549,332,24,7,81643,10607,1362,50054,481,17,0,35643,14597,0,0,81746,69891,1020,3629,675,71,20,2871,3569,71996,1055,3950,706,71,874,3094,81746,15657,10840,11243,6441,81746,78177,29409,8156,15266302955.2578,737352.24527476,17
12.3893805309735,161.78,20.0429491768074,16.8,5.8,76.3875,4.81579859106132,42,5682,7493,11876,15327,18959,610,551,80,20,209550,34411,4934,45129,17318,834,0,196266,59337,10,5,206064,159907,2030,4344,2427,446,159,3270,33481,186510,2262,4862,2512,509,4976,4433,206064,30359,19817,20728,25051,206064,172583,75823,34286,52995134237.918,1314616.63691718,339
0,17.89,0,19.7,5.2,71.3218,5.16936908010917,0,256,377,446,711,712,23,42,7,0,11179,2169,233,37026,6229,322,0,178638,2502,0,0,11119,7952,98,1416,54,12,0,1172,415,8215,98,1505,54,12,29,1206,11119,2054,1219,1197,1079,11119,10704,4147,1423,5428853495.19141,328978.181004912,2
1.33333333333333,202.78,2.70372573406154,19.9,4.6,80.5978,3.63647704590818,1,862,1107,1451,1902,2328,187,128,13,4,36986,7239,715,40203,16032,583,0,195794,7650,4,0,37351,31146,4790,58,144,13,0,596,604,31624,4826,58,159,13,70,601,37351,6776,4137,4294,3420,37351,36747,14494,4230,3710915757.13086,284035.186003185,75
0,0,0,19.2,3.5,62.6567,0,0,0,0,0,0,0,0,0,0,0,1366,258,25,39579,0,0,0,116992,0,0,0,1426,1215,0,10,6,0,0,57,138,1338,0,10,6,0,0,72,1426,191,137,136,248,1426,1288,474,240,8811668312.6875,440323.897543575,0
0.598802395209581,293.96,1.760222492123,9.7,3.3,170.3688,3.89678778304371,1,678,848,1593,2221,3137,25,25,5,3,56811,5403,983,75027,1899,74,0,88461,8477,13,0,56179,46896,3524,124,827,0,398,1299,3111,48887,3572,124,827,0,1142,1627,56179,10439,7130,6334,3119,56179,53068,23799,5358,916154776.34375,163558.308553354,167
0,43.97,0,11.7,4,83.3133,3.27420726521686,0,908,901,1299,1970,2522,25,25,4,2,43208,4902,928,50637,16462,539,0,227402,7600,0,0,43402,39819,556,657,465,3,12,1219,671,40314,560,678,465,3,127,1255,43402,7230,5332,5572,3108,43402,42731,17668,4492,7289161487.6875,429904.654342005,19
0,651.3,0,9.1,2.5,99.9967,0,0,0,0,0,0,0,0,0,0,0,1996,178,27,59722,0,0,0,90421,0,0,0,2015,1930,9,1,11,0,0,18,46,1974,9,1,11,0,2,18,2015,304,195,170,225,2015,1969,839,282,2074544148.22266,201283.506198275,13
0,113.68,0,10.7,3.1,90.2647,0,0,0,0,0,0,0,0,0,0,0,7037,742,115,50300,0,0,0,235333,0,0,0,7153,6838,5,0,71,0,0,111,128,6966,5,0,71,0,0,111,7153,1225,905,732,509,7153,7025,2993,789,722202657.300781,108711.086045493,8
0,35.35,0,10.4,4.6,96.8071,6.11262298513712,0,1152,1086,2041,2156,3145,123,39,6,4,53745,5308,1191,54362,33439,2044,0,349725,9580,0,0,53477,51166,433,3,396,0,67,699,713,51672,436,3,396,0,230,740,53477,9842,8216,5752,4279,53477,52764,20087,5301,1931712352.51563,217169.378240206,19
5.88788562829195,741.95,43.685065569469,11.7,3.2,94.6073,5.62333360265008,313,10342,8681,12693,19386,27649,3071,2000,294,26,716492,82104,13146,68069,24754,1392,0,159420,78751,47,12,693417,372710,62617,3359,25698,835,1455,16884,209859,530278,64881,6833,26143,1033,39531,24718,693417,120613,76231,157592,31716,693417,483558,260230,47035,680252574.777344,333927.114231574,5316
3.36134453781513,860.32,28.9184499710815,11.7,3.1,88.8266,2.70020142631608,4,471,416,494,629,1010,25,25,5,2,13832,1581,226,53359,18369,496,0,139526,3020,1,0,13880,12602,174,22,65,10,0,123,884,13432,174,25,70,10,17,152,13880,2661,1531,1410,1381,13880,12996,5258,1639,3222908033.03906,237006.970407273,119
0,65.58,0,13.5,2.5,90.4147,2.70020142631608,0,493,502,582,610,1082,50,50,6,4,15249,1858,160,54313,18369,496,0,139526,3269,0,0,15363,14020,260,101,147,0,0,323,512,14427,265,115,147,7,66,336,15363,2446,1787,1759,1577,15363,14851,6102,1692,2420304627.57422,200240.365881435,10
1.75438596491228,138.98,2.43816211339892,15.9,3.8,80.3531,3.38738160218334,2,1547,1929,2681,4279,5030,110,110,12,3,82029,12830,1402,43328,24916,844,0,364156,15466,7,0,81779,71612,3919,317,461,41,167,947,4315,72907,3990,317,461,41,2875,1188,81779,13701,9322,9064,6157,81779,77464,34226,9309,1879317327.44922,200501.970960008,114
4,355.04,14.2015195625932,8,3.8,108.2912,4.93980133407678,16,1295,1586,2684,3714,4393,93,96,12,6,112664,8770,2102,89964,48423,2392,0,262055,13672,0,1,111531,83197,15952,123,3071,13,176,3478,5521,87631,16081,146,3071,13,804,3785,111531,22695,15232,15256,5565,111531,106010,44676,8107,1552526160.62109,571311.442449902,400
0,159.93,0,33.6,7,64.5664,4.77072059242381,0,113,41,133,207,290,29,19,3,0,4377,1444,118,28887,14044,670,0,148132,784,0,0,4511,1132,3337,6,28,0,3,0,5,1132,3337,6,28,0,8,0,4511,885,613,374,287,4511,4506,1855,497,1601672277.51172,213607.183308683,7
0,16.01,0,14.8,3.5,94.4536,1.91174127768042,0,990,847,1388,2025,2241,174,120,24,3,37480,5472,561,44482,6277,120,0,115596,7491,0,0,37288,35060,156,289,192,36,2,654,899,35843,156,290,192,36,11,760,37288,7057,4280,4288,3225,37288,36389,14172,4266,2404860948.57422,210487.576929127,6
0,103.29,0,17.3,3.7,81.3562,1.65844491425887,0,531,701,994,1505,1532,60,32,4,2,27107,4612,439,42603,21285,353,0,409630,5263,1,0,26580,24876,534,8,51,0,12,445,654,25499,534,8,51,0,12,476,26580,4942,2977,2976,2226,26580,25926,10422,3037,1501208990.59766,223252.073499768,28
4,28.61,1.14425640497523,17,5.5,73.7367,3.66518078256563,1,2172,2550,4326,5144,7427,125,122,12,4,87393,14655,1990,46578,4038,148,0,116992,21619,0,0,85481,74478,379,764,817,60,78,2659,6246,78686,379,1003,841,60,1554,2958,85481,13755,8720,8609,9048,85481,79235,32778,12571,7791118714.39844,441550.490094919,25
0,152.67,0,16.7,5.3,79.1984,0,0,0,0,0,0,0,0,0,0,0,655,109,15,37544,0,0,0,180646,0,0,0,459,283,0,0,0,2,1,2,171,424,0,0,0,2,11,22,459,64,12,41,77,459,288,166,99,8395357485.80078,489092.234655806,1
1.81818181818182,242.31,4.40567450876729,17.1,4.4,84.4127,0,1,0,0,0,0,0,0,0,0,0,22698,3642,429,45517,0,0,0,364156,0,0,0,22746,13913,7492,51,151,47,0,225,867,14378,7503,51,151,47,377,239,22746,3534,2540,2411,1808,22746,21879,9671,2782,1716932591.00781,165724.951535437,55
