train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11
30,25,0,51.6190476190476,153.809523809524,26.6190476190476,2114.61904761905,15765,17.55254856,54.5,0
47,2055,8,1195.2380952381,4254.7619047619,1794.2380952381,32373.7142857143,231840,266.555156,66.8,20
0,42,0,65.1904761904762,84.6190476190476,28.9047619047619,955.52380952381,9429,10.1559252,53.8,0
29,92,0,102.190476190476,99.9047619047619,28.5238095238095,1705.14285714286,34027,106.3802227,49.4,0
33,34,0,190.285714285714,293.952380952381,84.7142857142857,4182.19047619048,21859,24.23915299,54.9,0
42,86,0,133,308.904761904762,79.5238095238095,6499.7619047619,71070,16.18380714,55.8,0
39,148,0,149.952380952381,287.333333333333,41,3289.7619047619,73447,68.36305716,42.5,1
20,22,0,39,37.7619047619048,13.9047619047619,432.857142857143,11790,3.758977508,34.9,0
37,25,0,82.3333333333333,82.8095238095238,29.4761904761905,1051.04761904762,14964,67.63352499,61,0
33,93,1,400,397.714285714286,89.3333333333333,6343.66666666667,68412,90.66715192,53.6,1
32,21,2,57.1428571428571,90,27.9047619047619,1495.09523809524,27511,8.946709017,39.4,2
50,1277,44,3120.80952380952,3504.14285714286,665.619047619048,46871.380952381,433742,780.4058037,72.2,58
34,48,1,160.142857142857,92.4761904761905,22.0952380952381,1506.42857142857,23884,27.55870266,65.8,0
45,181,3,100.904761904762,168.857142857143,45.3333333333333,1496.42857142857,22124,40.04156635,59.1,3
36,18,1,91.3809523809524,221.52380952381,0.80952380952381,2700.42857142857,30996,75.15334277,42.1,2
31,35,0,107,149.333333333333,46.6666666666667,1509.80952380952,9164,12.46738761,48.3,0
37,52,3,182.428571428571,391.142857142857,87.1904761904762,4776.19047619048,26830,73.70762354,65.4,4
47,54,0,123.428571428571,225.333333333333,73,2908.09523809524,36263,143.6362845,34.4,0
50,189,2,802.619047619048,753.904761904762,132.047619047619,8042.38095238095,115340,225.592052,36.3,3
47,74,3,614.809523809524,828.095238095238,89.9047619047619,18327.8095238095,148306,165.4036096,55.2,3
34,199,0,32.1904761904762,46.7619047619048,14.7619047619048,353.714285714286,9140,12.40698423,28.8,0
43,99,3,406.047619047619,490.238095238095,108.142857142857,7000.52380952381,69473,136.8581961,59.6,3
0,25,0,54.2380952380952,31.7142857142857,0.0952380952380952,570,7052,10.34851015,38.3,0
45,131,3,209.666666666667,216.47619047619,28.5714285714286,3336.95238095238,57280,116.2017277,39.6,3
49,133,0,95.4285714285714,102.619047619048,9.66666666666667,1342.7619047619,39261,4.275009827,31.7,0
29,25,1,68.6190476190476,61.5238095238095,16,1025.38095238095,12037,72.28077973,53.2,1
51,1829,113,1403.14285714286,3007.61904761905,661.52380952381,32761.2380952381,240204,273.4190241,63.6,147
35,47,0,39.1904761904762,22.5714285714286,14.2857142857143,311.904761904762,9450,4.477400107,31.2,0
52,7065,106,12254.0476190476,17668.9047619048,2971.52380952381,288294.476190476,2635516,3018.68844,63,164
41,89,0,293.857142857143,418.52380952381,71.5238095238095,4500.47619047619,41968,102.6905385,40.6,0
45,812,2,756.428571428571,1669.04761904762,240.380952380952,19309.9047619048,132230,210.6310155,58.6,2
0,25,0,49.4761904761905,52.7142857142857,28.2857142857143,667.809523809524,12017,3.54308313,41.8,0
49,328,6,669,633.333333333333,119,6983.04761904762,103126,233.1572684,38.2,14
50,207,28,1081.85714285714,1091.71428571429,146.238095238095,16764,470335,1398.065883,51.1,67
33,53,8,412.857142857143,277.761904761905,63.6666666666667,5182.57142857143,45328,163.7923908,55.3,16
36,134,0,246,386.809523809524,89.2380952380952,2835.80952380952,34429,63.78624603,49.6,0
40,118,0,670.47619047619,619,14.2857142857143,15170.9047619048,104418,248.4983081,38.4,0
52,851,1,841.047619047619,1769.33333333333,418.428571428571,18150.1428571429,158348,383.0268681,52.8,2
35,175,0,31.0952380952381,95.4285714285714,14,1467.28571428571,25050,37.51424864,57.3,0
42,372,0,218.190476190476,525.619047619048,65.4285714285714,6309.47619047619,79858,14.95328126,34.4,0
36,41,2,326.190476190476,218.428571428571,41.3809523809524,3129.14285714286,39369,68.76644399,46.2,5
42,676,3,1482.19047619048,1699.19047619048,319.571428571429,36688,174705,230.3417737,38.2,3
45,437,4,1980.28571428571,2175.2380952381,228.095238095238,33287.3333333333,256623,247.4405646,64.1,4
32,25,0,49.6666666666667,32.9047619047619,15.8571428571429,538.428571428571,9580,1.079485428,36.4,0
40,50,0,48.2380952380952,147.666666666667,58.7142857142857,1477.47619047619,17526,23.63442231,37.4,0
46,955,30,2180.04761904762,3871.09523809524,414.47619047619,51673,537174,831.8362941,55.3,46
45,1954,43,1756.90476190476,4461.85714285714,1340.42857142857,52332.1904761905,310569,346.7731771,55.6,50
35,25,0,170.47619047619,97,29.0952380952381,1347.80952380952,18636,45.03663639,66.9,0
11,40,0,77.0476190476191,99.0952380952381,25.2380952380952,1657.14285714286,25388,36.67540885,46.4,0
55,3131,28,4689.80952380952,7157.95238095238,1883.61904761905,102331.285714286,694144,1377.692628,55.1,41
46,1850,15,1711.09523809524,2090.90476190476,100.571428571429,32803.9047619048,202518,624.4213679,52.2,17
50,1325,420,0,0,0,0,607186,965.5842049,46.7,610
37,88,0,68,112.047619047619,29.3333333333333,1332.38095238095,20997,37.26225311,34.9,0
0,43,0,339.47619047619,241.333333333333,101,5205.42857142857,35723,46.71354851,49.4,0
36,34,0,40.1904761904762,72.1904761904762,17.5238095238095,1247.38095238095,14672,19.0457168,59.7,0
36,25,8,72.6190476190476,74.5714285714286,27.8095238095238,926.238095238095,8179,13.04699994,49.4,8
56,25,0,109.952380952381,56.3809523809524,16.2857142857143,823.380952380952,32221,17.86295845,37.9,0
36,25,2,43.5714285714286,69.0952380952381,28.952380952381,1108.95238095238,16831,1.745811087,39.4,3
